X;Y;osm_id;type;name;brand;operator;wheelchair
4.8284518;45.7643621003775;node/8112595067;confectionery;Au Vieux Palais;;;
4.8276651;45.7646406003774;node/8112617283;art;Aquarelles Botaniques;;Vincent Jeannerot;
4.8280523;45.7647714003774;node/8112624999;upholsterer;Au Tapissier d'Antan;;;
4.8273139;45.7647949003774;node/8112634501;watchmaker;L'Horlogerie de Saint-Paul;;;
4.8275725;45.7646406003774;node/8112661136;art;Galerie de l'Horlogerie de Saint-Paul;;;
4.827782;45.7642595003775;node/8112664817;bicycle;The Cycle;;;
4.8272748;45.7652588003773;node/8112680490;art;L'Atelier de Saint-Paul;;;
4.8272073;45.7656562003773;node/8112686744;art;Galerie Saint-Paul;;;
4.827328;45.7656400003773;node/8112694724;art;Aurélie Moreau;;;
4.8289307;45.7653484003773;node/8112735419;musical_instrument;AJ Atelier des Cuivres;;;
4.8505972;45.7687899003768;node/8113126596;shoemaker;L'Atelier du Sixième;;;
4.8504805;45.7694895003767;node/8113126602;herbalist;François Nature;;;
4.8357215;45.7696078003767;node/8113302437;cheese;La Crèmerie Savoyarde;;;
4.8247401;45.7469285003799;node/8116373793;florist;Herbacé;;;
4.8236947;45.74636550038;node/8116373800;shoemaker;Chapus Multiservice;;;yes
4.8233333;45.7459528003801;node/8116373804;florist;Mademoiselle;;;limited
4.8323187;45.7776759003756;node/8116608777;garden_centre;Gloriette jardinerie;;Gloriette;
